학교명,x,y
대구포산초등학교,128.4526294,35.69487555
대구하빈초등학교,128.4421117,35.90161077
대구학남초등학교,128.5662841,35.94624601
대구학산초등학교,128.5260827,35.83110936
대구학정초등학교,128.5689765,35.94822595
대구한샘초등학교,128.5185333,35.81696001
대구한솔초등학교,128.5161025,35.81653696
대구한실초등학교,128.5285639,35.79831931
대구함지초등학교,128.557736,35.93472457
대구해서초등학교,128.6429614,35.91814298
대구해안초등학교,128.6830243,35.89617793
대구현풍초등학교,128.4489959,35.69809567
대구호산초등학교,128.4789194,35.84896455
대구화남초등학교,128.498009,35.80002003
대구화동초등학교,128.5096929,35.79954584
대구화원초등학교,128.4993245,35.80302218
대구황금초등학교,128.6183787,35.84422126
대구효동초등학교,128.6447369,35.88412627
대구효명초등학교,128.6010854,35.83465147
대구효목초등학교,128.6415759,35.8760038
대구효신초등학교,128.6321442,35.87263323
동대구초등학교,128.62097,35.87969333
북대구초등학교,128.6093411,35.90332591
서대구초등학교,128.5577979,35.88944615
영신초등학교,128.646424,35.92000422
효성초등학교,128.5429938,35.82406479
